date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°)
2016 01 01 00:00:00,7.6,0,0,69,10,296
2016 01 01 01:00:00,7.5,0,0,20,9.8,287
2016 01 01 02:00:00,7.1,0,0,32,9.7,285
2016 01 01 03:00:00,6.6,0,0,35,9.2,281
2016 01 01 04:00:00,6.3,0,0,34,9.1,279
2016 01 01 05:00:00,6.1,0,0,35,9.4,277
2016 01 01 06:00:00,6,0,0,50,9.7,274
2016 01 01 07:00:00,5.9,0,0,51,9.7,272
2016 01 01 08:00:00,5.8,0,0,54,9,265
2016 01 01 09:00:00,5.8,0,0,58,10.2,262
2016 01 01 10:00:00,4.7,0,0,48,9.1,261
2016 01 01 11:00:00,4.7,0,0,74,9.1,263
2016 01 01 12:00:00,4.8,0,0,80,9.5,261
2016 01 01 13:00:00,4.6,0,0,30,10.1,264
2016 01 01 14:00:00,4.4,0,0,29,11.9,272
2016 01 01 15:00:00,4.8,0,0,76,13.6,281
2016 01 01 16:00:00,4.7,0,0,56,14.4,274
2016 01 01 17:00:00,4.9,0,0,59,16.6,271
2016 01 01 18:00:00,5,0,0,53,17.6,269
2016 01 01 19:00:00,5.1,0,0,61,19.1,270
2016 01 01 20:00:00,5,0,0,99,21.1,278
2016 01 01 21:00:00,4.8,0,0,100,20.5,281
2016 01 01 22:00:00,3.8,0,0,100,16.2,271
2016 01 01 23:00:00,3.8,0,0,72,14.8,266
2016 01 02 00:00:00,3.6,0,0,13,15.5,269
2016 01 02 01:00:00,3.1,0,0,0,15.9,273
2016 01 02 02:00:00,2.9,0,0,0,15.1,269
2016 01 02 03:00:00,2.3,0,0,0,15.5,267
2016 01 02 04:00:00,2,0,0,0,15.5,269
2016 01 02 05:00:00,1.9,0,0,0,15.2,266
2016 01 02 06:00:00,1.4,0,0,6,14.8,266
2016 01 02 07:00:00,1.2,0,0,8,14.5,263
2016 01 02 08:00:00,1.1,0,0,5,14.5,264
2016 01 02 09:00:00,1.2,0,0,0,14.1,267
2016 01 02 10:00:00,0.3,0,0,0,11.2,270
2016 01 02 11:00:00,0.4,0,0,0,10.7,258
2016 01 02 12:00:00,0.5,0,0,0,10.5,264
2016 01 02 13:00:00,0.4,0,0,20,10.9,262
2016 01 02 14:00:00,1.1,0,0,1,11.6,263
2016 01 02 15:00:00,2.6,0,0,71,14.9,285
2016 01 02 16:00:00,3.1,0,0,34,13.4,278
2016 01 02 17:00:00,3.7,0,0,10,13,265
2016 01 02 18:00:00,4.2,0,0,2,13.3,257
2016 01 02 19:00:00,4.3,0,0,21,14.6,260
2016 01 02 20:00:00,4.5,0,0,5,15,260
2016 01 02 21:00:00,4.8,0,0,1,13.5,254
2016 01 02 22:00:00,3.6,0,0,33,10.5,286
2016 01 02 23:00:00,3.1,0,0,16,7.3,259
2016 01 03 00:00:00,2.7,0,0,5,7.2,252
2016 01 03 01:00:00,2.5,0,0,4,7.9,246
2016 01 03 02:00:00,2.1,0,0,3,8.7,240
2016 01 03 03:00:00,1.4,0,0,2,9.2,231
2016 01 03 04:00:00,1,0,0,1,10.7,230
2016 01 03 05:00:00,0.8,0,0,0,11.2,225
2016 01 03 06:00:00,0.6,0,0,2,12,224
2016 01 03 07:00:00,0.6,0,0,1,12,221
2016 01 03 08:00:00,0.3,0,0,0,12.9,216
2016 01 03 09:00:00,0.7,0,0,0,13.1,217
2016 01 03 10:00:00,0,0,0,0,10,229
2016 01 03 11:00:00,0,0,0,0,12.3,218
2016 01 03 12:00:00,0.3,0,0,0,14.3,231
2016 01 03 13:00:00,0.4,0,0,0,15.6,236
2016 01 03 14:00:00,2.1,0,0,0,13.9,239
2016 01 03 15:00:00,5.3,0,0,0,15.3,243
2016 01 03 16:00:00,6.5,0,0,0,16.9,246
2016 01 03 17:00:00,6.9,0,0,1,18.3,255
2016 01 03 18:00:00,7.1,0,0,30,19.1,271
2016 01 03 19:00:00,7.2,0,0,29,17.7,275
2016 01 03 20:00:00,7.1,0,0,77,16.4,279
2016 01 03 21:00:00,6.5,0,0,56,12.1,282
2016 01 03 22:00:00,5.4,0,0,36,9.8,287
2016 01 03 23:00:00,4.8,0,0,0,9.4,272
2016 01 04 00:00:00,4.5,0,0,0,10.9,261
2016 01 04 01:00:00,4,0,0,0,12,261
2016 01 04 02:00:00,3.4,0,0,0,12,263
2016 01 04 03:00:00,2.3,0,0,0,12.6,265
2016 01 04 04:00:00,2,0,0,0,12.6,273
2016 01 04 05:00:00,1.9,0,0,0,12.6,290
2016 01 04 06:00:00,1.5,0,0,1,12.6,301
2016 01 04 07:00:00,1.5,0,0,1,11.3,301
2016 01 04 08:00:00,1.2,0,0,4,11.9,305
2016 01 04 09:00:00,0.9,0,0,5,12.3,308
2016 01 04 10:00:00,-0.1,0,0,30,15.3,317
2016 01 04 11:00:00,-0.2,0,0,41,16.1,321
2016 01 04 12:00:00,0.1,0,0,58,16.5,324
2016 01 04 13:00:00,-0.3,0,0,68,18,331
2016 01 04 14:00:00,-0.7,0,0,77,20,337
2016 01 04 15:00:00,-0.8,0,0,42,19.7,339
2016 01 04 16:00:00,-0.9,0,0,22,19.7,339
2016 01 04 17:00:00,-0.9,0,0,4,20.5,336
2016 01 04 18:00:00,-1.1,0,0,1,21.5,337
2016 01 04 19:00:00,-1.2,0,0,0,22.7,340
2016 01 04 20:00:00,-1.8,0,0,0,23.2,341
2016 01 04 21:00:00,-2.7,0,0,0,23.2,344
2016 01 04 22:00:00,-4.8,0,0,0,23,346
2016 01 04 23:00:00,-5.4,0,0,0,24.3,345
2016 01 05 00:00:00,-5.8,0,0,0,25.4,344
2016 01 05 01:00:00,-6.4,0,0,0,25.8,345
2016 01 05 02:00:00,-6.9,0,0,0,26.1,345
2016 01 05 03:00:00,-8.1,0,0,0,26.3,347
2016 01 05 04:00:00,-8.4,0,0,0,25.7,349
2016 01 05 05:00:00,-9.2,0,0,0,24.4,351
2016 01 05 06:00:00,-9.4,0,0,0,23.7,350
2016 01 05 07:00:00,-9.6,0,0,0,23,350
2016 01 05 08:00:00,-9.6,0,0,0,22.3,351
2016 01 05 09:00:00,-9.5,0,0,0,21.2,350
2016 01 05 10:00:00,-10.4,0,0,9,18.3,350
2016 01 05 11:00:00,-10.4,0,0,7,19.3,351
2016 01 05 12:00:00,-10.1,0,0,0,18.1,354
2016 01 05 13:00:00,-10,0,0,0,17.7,354
2016 01 05 14:00:00,-9,0,0,0,17.6,1
2016 01 05 15:00:00,-6.6,0,0,0,16.6,5
2016 01 05 16:00:00,-5.6,0,0,0,15.1,1
2016 01 05 17:00:00,-4.4,0,0,0,14.1,354
2016 01 05 18:00:00,-3.4,0,0,0,12.5,348
2016 01 05 19:00:00,-2.6,0,0,0,10,347
2016 01 05 20:00:00,-1.8,0,0,0,8.5,348
2016 01 05 21:00:00,-1.2,0,0,0,5.9,349
2016 01 05 22:00:00,-1.8,0,0,0,3.3,354
2016 01 05 23:00:00,-2.4,0,0,0,2.6,304
