Reported Date,State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
2009-01-01,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.2,2600.0,2800.0,2700.0
2009-01-02,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.2,2600.0,2800.0,2700.0
2009-01-03,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.2,2600.0,2800.0,2700.0
2009-01-04,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.2,2600.0,2800.0,2700.0
2009-01-05,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.23,2600.0,2800.0,2700.0
2009-01-06,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.23,2600.0,2800.0,2700.0
2009-01-07,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.23,2600.0,2800.0,2700.0
2009-01-08,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.23,2600.0,2800.0,2700.0
2009-01-09,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.24,4200.0,4700.0,4500.0
2009-01-10,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.24,4200.0,4700.0,4500.0
2009-01-11,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.24,4200.0,4700.0,4500.0
2009-01-12,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2000.0,2000.0
2009-01-13,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2000.0,2000.0
2009-01-14,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2000.0,2000.0
2009-01-15,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2000.0,2000.0
2009-01-16,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-17,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-18,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-19,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-20,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-21,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-22,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-23,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-24,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-25,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-26,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-27,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-28,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-29,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-30,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-01-31,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-01,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-02,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-03,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-04,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-05,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-06,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-07,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-08,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-09,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-10,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-11,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-12,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-13,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
2009-02-14,Kerala,Ernakulam,Ernakulam,Coconut,Spices,0.25,1600.0,2200.0,2000.0
