Date,maxtempC,mintempC,avgtempC
2009-01-01,30,17,23
2009-01-02,31,18,24
2009-01-03,31,19,25
2009-01-04,32,20,25
2009-01-05,32,19,25
2009-01-06,32,19,24
2009-01-07,31,20,25
2009-01-08,31,22,26
2009-01-09,30,22,26
2009-01-10,32,22,26
2009-01-11,32,20,26
2009-01-12,32,21,26
2009-01-13,32,19,25
2009-01-14,32,19,25
2009-01-15,30,21,25
2009-01-16,32,20,26
2009-01-17,32,20,26
2009-01-18,32,20,26
2009-01-19,32,21,26
2009-01-20,33,20,26
2009-01-21,33,19,25
2009-01-22,33,19,25
2009-01-23,32,19,25
2009-01-24,33,20,25
2009-01-25,34,20,26
2009-01-26,31,20,25
2009-01-27,31,22,25
2009-01-28,30,21,25
2009-01-29,32,22,26
2009-01-30,32,21,26
2009-01-31,32,18,25
2009-02-01,33,19,25
2009-02-02,33,18,25
2009-02-03,33,19,25
2009-02-04,33,20,25
2009-02-05,34,21,26
2009-02-06,34,21,26
2009-02-07,34,20,26
2009-02-08,33,20,26
2009-02-09,34,21,26
2009-02-10,33,19,25
2009-02-11,33,18,25
2009-02-12,30,21,25
2009-02-13,33,20,26
2009-02-14,34,21,26
2009-02-15,34,20,26
2009-02-16,34,20,26
2009-02-17,34,21,26
2009-02-18,34,20,26
2009-02-19,36,21,27
2009-02-20,33,20,27
2009-02-21,35,22,28
2009-02-22,34,23,28
2009-02-23,32,23,27
2009-02-24,34,22,27
2009-02-25,33,23,28
2009-02-26,33,23,28
2009-02-27,36,23,28
2009-02-28,35,22,28
2009-03-01,35,22,28
2009-03-02,37,23,28
2009-03-03,35,23,28
2009-03-04,33,23,27
2009-03-05,34,22,28
2009-03-06,36,23,28
2009-03-07,36,22,28
2009-03-08,36,21,28
2009-03-09,32,23,26
2009-03-10,31,23,26
2009-03-11,31,24,27
2009-03-12,28,22,25
2009-03-13,31,22,26
2009-03-14,30,22,26
2009-03-15,32,21,26
2009-03-16,33,21,26
2009-03-17,32,22,27
2009-03-18,34,22,27
2009-03-19,35,21,27
2009-03-20,32,22,27
2009-03-21,34,22,27
2009-03-22,33,22,27
2009-03-23,34,23,27
2009-03-24,30,22,26
2009-03-25,33,21,27
2009-03-26,33,22,27
2009-03-27,30,23,26
2009-03-28,34,23,27
2009-03-29,33,23,27
2009-03-30,33,22,27
2009-03-31,34,23,28
2009-04-01,35,22,28
2009-04-02,34,22,28
2009-04-03,35,24,29
2009-04-04,35,24,28
2009-04-05,32,23,28
2009-04-06,34,22,28
2009-04-07,33,23,28
2009-04-08,33,24,28
2009-04-09,32,24,28
2009-04-10,31,24,27
2009-04-11,31,22,26
2009-04-12,31,22,27
2009-04-13,30,23,27
2009-04-14,33,24,28
2009-04-15,32,25,28
2009-04-16,32,25,28
2009-04-17,31,25,28
2009-04-18,33,25,28
2009-04-19,33,25,28
2009-04-20,31,24,27
2009-04-21,28,25,26
2009-04-22,30,24,27
2009-04-23,32,25,28
2009-04-24,32,25,28
2009-04-25,33,25,28
2009-04-26,32,25,29
2009-04-27,33,25,28
2009-04-28,32,24,27
2009-04-29,31,24,27
2009-04-30,29,24,26
2009-05-01,30,24,27
2009-05-02,33,25,28
2009-05-03,33,26,29
2009-05-04,33,25,28
2009-05-05,32,25,28
2009-05-06,33,25,28
2009-05-07,34,25,29
2009-05-08,32,25,28
2009-05-09,31,25,28
2009-05-10,31,25,28
2009-05-11,32,26,28
2009-05-12,33,26,28
2009-05-13,33,26,29
2009-05-14,33,26,28
2009-05-15,32,26,29
2009-05-16,32,26,28
2009-05-17,32,25,28
2009-05-18,32,25,28
2009-05-19,29,25,27
2009-05-20,29,24,26
2009-05-21,29,25,26
2009-05-22,30,24,26
2009-05-23,29,24,26
2009-05-24,30,23,26
2009-05-25,29,23,25
2009-05-26,29,22,25
2009-05-27,30,24,27
2009-05-28,31,24,27
2009-05-29,32,25,27
2009-05-30,29,24,26
2009-05-31,27,24,25
2009-06-01,29,24,26
2009-06-02,29,23,26
2009-06-03,29,24,26
2009-06-04,29,24,26
2009-06-05,28,24,25
2009-06-06,26,23,24
2009-06-07,26,23,24
2009-06-08,27,24,25
2009-06-09,29,24,25
2009-06-10,30,23,26
2009-06-11,30,23,26
2009-06-12,28,24,26
2009-06-13,28,24,26
2009-06-14,28,24,26
2009-06-15,28,24,26
2009-06-16,28,24,25
2009-06-17,28,24,25
2009-06-18,28,23,25
2009-06-19,28,24,26
2009-06-20,27,23,25
2009-06-21,28,23,25
2009-06-22,28,23,25
2009-06-23,28,23,25
2009-06-24,28,23,25
2009-06-25,28,22,25
2009-06-26,26,22,24
2009-06-27,28,22,25
2009-06-28,27,24,25
2009-06-29,28,23,25
2009-06-30,27,23,25
2009-07-01,27,23,25
2009-07-02,26,23,25
2009-07-03,26,23,24
2009-07-04,26,23,24
2009-07-05,27,23,25
2009-07-06,27,23,25
2009-07-07,28,23,25
2009-07-08,28,23,25
2009-07-09,26,23,24
2009-07-10,28,23,25
2009-07-11,28,23,25
2009-07-12,29,23,25
2009-07-13,28,23,25
2009-07-14,26,23,24
2009-07-15,26,23,24
2009-07-16,26,23,24
2009-07-17,26,23,24
2009-07-18,27,23,25
2009-07-19,28,23,24
2009-07-20,28,23,25
2009-07-21,27,23,25
2009-07-22,28,23,25
2009-07-23,28,23,25
2009-07-24,30,23,26
2009-07-25,30,24,26
2009-07-26,30,23,26
2009-07-27,27,23,25
2009-07-28,29,23,26
2009-07-29,28,24,25
2009-07-30,29,23,25
2009-07-31,27,23,25
2009-08-01,26,23,24
2009-08-02,26,23,24
2009-08-03,28,22,25
2009-08-04,28,22,25
2009-08-05,28,22,25
2009-08-06,28,22,25
2009-08-07,29,24,25
2009-08-08,30,23,26
2009-08-09,29,22,25
2009-08-10,28,22,25
2009-08-11,29,23,25
2009-08-12,30,23,26
2009-08-13,30,24,26
2009-08-14,29,24,25
2009-08-15,28,23,25
2009-08-16,29,23,25
2009-08-17,26,23,24
2009-08-18,30,21,26
2009-08-19,31,23,26
2009-08-20,29,24,26
2009-08-21,27,23,25
2009-08-22,29,23,25
2009-08-23,28,22,25
2009-08-24,27,23,24
2009-08-25,28,22,25
2009-08-26,27,23,24
2009-08-27,27,23,24
2009-08-28,27,22,24
2009-08-29,28,22,25
2009-08-30,28,22,25
2009-08-31,28,22,25
2009-09-01,26,23,24
2009-09-02,25,23,24
2009-09-03,27,22,24
2009-09-04,27,23,24
2009-09-05,27,22,24
2009-09-06,25,22,23
2009-09-07,26,22,24
2009-09-08,27,22,24
2009-09-09,29,22,25
2009-09-10,30,21,25
2009-09-11,31,22,26
2009-09-12,30,22,26
2009-09-13,28,23,25
2009-09-14,29,23,25
2009-09-15,29,22,25
2009-09-16,29,21,25
2009-09-17,27,22,24
2009-09-18,28,21,24
2009-09-19,30,22,25
2009-09-20,28,22,24
2009-09-21,28,23,25
2009-09-22,28,23,25
2009-09-23,29,23,25
2009-09-24,29,22,25
2009-09-25,28,23,25
2009-09-26,27,22,24
2009-09-27,28,21,24
2009-09-28,26,22,24
2009-09-29,28,23,25
2009-09-30,27,23,24
2009-10-01,27,23,24
2009-10-02,25,23,24
2009-10-03,28,23,24
2009-10-04,28,23,25
2009-10-05,29,23,25
2009-10-06,29,22,25
2009-10-07,29,21,25
2009-10-08,30,21,25
2009-10-09,31,21,25
2009-10-10,31,22,25
2009-10-11,31,21,26
2009-10-12,30,21,25
2009-10-13,30,22,25
2009-10-14,31,22,25
2009-10-15,31,22,25
2009-10-16,30,22,25
2009-10-17,30,21,25
2009-10-18,31,22,26
2009-10-19,30,22,26
2009-10-20,31,22,26
2009-10-21,32,22,26
2009-10-22,29,22,25
2009-10-23,31,22,26
2009-10-24,28,22,25
2009-10-25,29,22,25
2009-10-26,30,22,25
2009-10-27,31,22,25
2009-10-28,30,22,26
2009-10-29,29,23,25
2009-10-30,29,22,25
2009-10-31,30,22,25
2009-11-01,29,22,25
2009-11-02,31,22,26
2009-11-03,31,22,26
2009-11-04,28,23,25
2009-11-05,31,23,26
2009-11-06,26,23,24
2009-11-07,27,23,25
2009-11-08,28,23,25
2009-11-09,27,23,24
2009-11-10,28,22,25
2009-11-11,29,22,25
2009-11-12,31,23,26
2009-11-13,28,23,25
2009-11-14,28,22,24
2009-11-15,28,22,24
2009-11-16,28,22,25
2009-11-17,29,23,25
2009-11-18,30,22,25
2009-11-19,29,22,25
2009-11-20,29,23,25
2009-11-21,28,23,25
2009-11-22,30,23,25
2009-11-23,30,22,25
2009-11-24,31,22,25
2009-11-25,30,21,25
2009-11-26,30,20,25
2009-11-27,31,20,25
2009-11-28,32,21,25
2009-11-29,32,19,25
2009-11-30,30,21,25
2009-12-01,29,22,24
2009-12-02,28,22,25
2009-12-03,30,22,25
2009-12-04,30,21,25
2009-12-05,29,21,25
2009-12-06,31,21,25
2009-12-07,30,21,25
2009-12-08,31,21,25
2009-12-09,31,21,25
2009-12-10,32,21,25
2009-12-11,31,19,24
2009-12-12,31,21,25
2009-12-13,30,22,26
2009-12-14,30,23,25
2009-12-15,31,22,25
2009-12-16,27,22,24
2009-12-17,29,22,25
2009-12-18,31,22,26
2009-12-19,30,23,26
2009-12-20,31,22,26
2009-12-21,30,23,26
2009-12-22,29,23,25
2009-12-23,29,22,25
2009-12-24,28,22,25
2009-12-25,28,22,25
2009-12-26,31,21,25
2009-12-27,29,21,24
2009-12-28,29,21,24
2009-12-29,31,21,25
2009-12-30,31,22,25
2009-12-31,30,21,25
2010-01-01,32,21,26
2010-01-02,32,22,26
2010-01-03,31,21,25
2010-01-04,30,22,25
2010-01-05,30,21,25
2010-01-06,31,21,25
2010-01-07,31,20,25
2010-01-08,31,21,26
2010-01-09,30,24,26
2010-01-10,27,22,24
2010-01-11,30,21,25
2010-01-12,30,22,25
2010-01-13,29,22,25
2010-01-14,31,22,26
2010-01-15,31,22,26
2010-01-16,31,19,25
2010-01-17,31,21,26
2010-01-18,31,21,25
2010-01-19,32,21,26
2010-01-20,32,21,26
2010-01-21,32,23,26
2010-01-22,32,21,25
2010-01-23,32,21,26
2010-01-24,32,20,25
2010-01-25,32,20,25
2010-01-26,32,22,26
2010-01-27,33,22,27
2010-01-28,32,23,27
2010-01-29,33,23,27
2010-01-30,33,21,26
2010-01-31,33,22,27
2010-02-01,33,22,27
2010-02-02,33,22,27
2010-02-03,34,22,27
2010-02-04,33,21,26
2010-02-05,33,22,26
2010-02-06,34,20,26
2010-02-07,34,20,26
2010-02-08,33,20,26
2010-02-09,33,22,26
2010-02-10,32,22,26
2010-02-11,31,23,27
2010-02-12,32,23,27
2010-02-13,33,23,27
2010-02-14,34,23,28
2010-02-15,35,23,28
2010-02-16,35,23,28
2010-02-17,32,22,27
2010-02-18,33,24,28
2010-02-19,33,23,28
2010-02-20,35,22,28
2010-02-21,35,23,28
2010-02-22,36,23,29
2010-02-23,33,24,28
2010-02-24,34,23,28
2010-02-25,34,23,28
2010-02-26,33,24,28
2010-02-27,35,23,28
2010-02-28,36,23,28
2010-03-01,36,23,28
2010-03-02,35,22,28
2010-03-03,36,22,28
2010-03-04,34,23,28
2010-03-05,31,23,27
2010-03-06,31,23,27
2010-03-07,34,23,28
2010-03-08,37,23,29
2010-03-09,36,24,29
2010-03-10,37,24,29
2010-03-11,36,23,29
2010-03-12,36,23,29
2010-03-13,35,23,29
2010-03-14,37,24,29
2010-03-15,35,23,29
2010-03-16,35,23,28
2010-03-17,38,23,29
2010-03-18,35,23,29
2010-03-19,36,23,29
2010-03-20,38,23,29
2010-03-21,38,23,30
2010-03-22,35,23,29
2010-03-23,36,24,29
2010-03-24,36,24,29
