State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200,3500,3300,15/02/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.04,3300,3500,3400,18/02/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.04,3500,3900,3800,22/02/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.05,3400,3600,3500,25/02/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.06,3400,3600,3500,01/03/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,340,360,350,04/03/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,3200,3400,3300,06/03/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,3300,3500,3400,08/03/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,3400,3600,3500,22/03/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,3500,3800,3600,21/04/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,3800,4000,3900,24/04/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.07,4100,4500,4200,28/04/2010
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.08,3800,4000,3900,30/12/2011
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.09,380,400,390,07/01/2012
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.09,400,420,410,11/01/2012
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.09,2700,3000,2800,21/01/2012
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.09,3300,3600,3500,25/01/2012
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.1,3200,3700,3500,01/02/2012
Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.1,3200,3700,3500,04/02/2012
