Reported Date,State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
2009-01-01,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-02,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-03,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-04,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-05,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-06,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-07,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-08,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-09,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-10,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-11,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-12,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-13,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-14,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-15,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-16,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-17,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-18,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-19,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-20,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-21,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-22,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
2009-01-23,Kerala,Thiruvananthapuram,Anyara(EEC),Big,Spices,0.03,3200.0,3500.0,3300.0
