Unnamed: 0,Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Conditions,Date,avg_temp
119802,"Alba Iulia, Romania",2019-01-01,0.6,3.8,1.6,-0.5,86.51,26.4,14.4,38.5,173.83,-2.5,0.0,0.0,52.14,8.3,64.4,1026.5,"Mist, Fog",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-01,2.2
119803,"Alba Iulia, Romania",2019-01-02,0.1,2.5,1.2,-1.8,81.09,26.4,18.1,55.2,214.88,-4.5,0.0,16.67,52.14,10.0,65.7,1013.4,"Snow And Rain Showers, Snow Showers, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-02,1.3
119804,"Alba Iulia, Romania",2019-01-03,-4.2,1.6,-0.9,-3.0,86.31,26.4,16.1,31.5,196.5,-7.3,1.05,25.0,41.57,6.9,69.9,1018.6,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Partially cloudy",2019-01-03,-1.3
119805,"Alba Iulia, Romania",2019-01-04,-10.4,-3.2,-6.6,-8.9,83.73,26.4,7.3,17.4,209.38,-10.7,0.0,8.33,2.12,10.1,27.1,1026.5,"Snow And Rain Showers, Snow Showers, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-04,-6.8
119806,"Alba Iulia, Romania",2019-01-05,-13.9,-3.7,-8.0,-10.8,80.55,26.4,14.5,34.9,216.5,-16.8,0.0,12.5,2.1,9.7,51.6,1021.7,"Snow And Rain Showers, Snow Showers, Light Snow, Fog, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-05,-8.8
119807,"Alba Iulia, Romania",2019-01-06,-5.7,-2.2,-4.1,-5.5,90.02,26.4,17.1,31.3,187.29,-7.9,3.28,25.0,12.97,5.5,82.8,1015.6,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-06,-3.95
119808,"Alba Iulia, Romania",2019-01-07,-13.4,-4.0,-7.4,-10.1,81.33,26.4,10.8,21.2,180.17,-13.9,0.0,4.17,13.04,10.0,47.4,1026.6,"Snow And Rain Showers, Snow Showers, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-07,-8.7
119809,"Alba Iulia, Romania",2019-01-08,-15.3,-6.2,-10.9,-13.1,83.91,26.4,7.3,27.7,168.92,-19.2,0.0,8.33,10.06,10.0,43.9,1022.6,"Snow Showers, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-08,-10.75
119810,"Alba Iulia, Romania",2019-01-09,-7.9,-2.9,-5.6,-8.1,82.85,26.4,14.5,20.7,154.13,-13.9,0.2,16.67,7.09,10.0,80.7,1009.1,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-09,-5.4
119812,"Alba Iulia, Romania",2019-01-11,-4.4,-1.2,-2.3,-3.5,91.18,26.4,14.6,52.0,197.5,-9.1,5.98,25.0,18.98,4.5,80.3,1015.1,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Dust storm, Fog, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-11,-2.8
119813,"Alba Iulia, Romania",2019-01-12,-6.4,-2.0,-3.5,-6.4,80.12,26.4,11.0,48.7,220.63,-8.7,0.2,8.33,18.98,10.0,74.0,1017.6,"Snow And Rain Showers, Snow Showers, Light Snow, Dust storm, Fog, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Partially cloudy",2019-01-12,-4.2
119814,"Alba Iulia, Romania",2019-01-13,-9.3,0.8,-3.6,-4.9,90.51,26.4,14.5,39.6,190.29,-12.8,0.0,8.33,15.98,6.8,68.3,1010.6,"Mist, Light Snow, Fog, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-13,-4.25
119815,"Alba Iulia, Romania",2019-01-14,-0.8,3.8,1.4,-0.7,85.86,26.4,18.1,50.4,212.21,-4.7,0.11,20.83,12.99,9.1,76.1,997.6,"Snow Showers, Mist, Light Snow, Rain, Heavy Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-14,1.5
119816,"Alba Iulia, Romania",2019-01-15,-5.8,2.1,-2.1,-5.9,76.8,26.4,21.7,46.8,196.75,-10.6,4.94,16.67,10.01,9.4,41.7,1010.9,"Snow And Rain Showers, Snow Showers, Mist, Fog, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Partially cloudy",2019-01-15,-1.85
119817,"Alba Iulia, Romania",2019-01-16,-1.3,2.8,1.1,-1.6,82.34,26.4,29.0,75.6,227.63,-6.0,0.1,16.67,9.01,10.0,61.3,1013.8,"Snow And Rain Showers, Snow Showers, Blowing Or Drifting Snow, Light Snow, Heavy Rain And Snow, Dust storm, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Partially cloudy",2019-01-16,0.75
119818,"Alba Iulia, Romania",2019-01-17,-0.6,4.9,2.0,-0.6,83.29,26.4,14.3,34.9,198.38,-4.7,0.0,0.0,7.08,10.1,71.5,1016.5,"Dust storm, Fog",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-17,2.15
119820,"Alba Iulia, Romania",2019-01-19,0.3,2.0,1.0,-0.8,87.82,26.4,10.8,31.3,158.17,-2.5,0.99,8.33,4.08,7.5,81.1,1021.3,"Snow And Rain Showers, Mist, Light Snow, Rain, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-19,1.15
119821,"Alba Iulia, Romania",2019-01-20,0.0,1.1,0.5,-0.3,94.11,26.4,14.4,31.7,100.71,-3.6,2.01,20.83,3.08,4.8,83.2,1017.2,"Snow Showers, Light Snow, Mist, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-20,0.55
119822,"Alba Iulia, Romania",2019-01-21,-0.4,3.1,0.8,-1.0,87.56,26.4,10.9,34.5,214.67,-4.0,0.0,4.17,3.09,9.4,75.2,1020.4,"Mist, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Overcast,2019-01-21,1.35
119823,"Alba Iulia, Romania",2019-01-22,-1.7,0.3,-0.7,-1.8,92.77,26.4,7.2,17.4,45.0,-4.4,1.4,25.0,3.99,4.7,79.5,1016.0,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-22,-0.7
119824,"Alba Iulia, Romania",2019-01-23,-0.7,4.6,0.8,-0.5,91.36,26.4,7.3,20.5,133.29,-3.2,0.4,16.67,4.08,5.6,51.1,1003.7,"Snow Showers, Mist, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Partially cloudy",2019-01-23,1.95
119826,"Alba Iulia, Romania",2019-01-25,0.0,3.3,1.5,0.5,93.46,26.4,7.3,28.1,135.25,-2.4,1.6,37.5,70.33,3.5,83.2,1007.7,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Light Rain And Snow, Dust storm, Fog, Light Rain, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-25,1.65
119827,"Alba Iulia, Romania",2019-01-26,-1.7,2.6,1.1,-0.2,91.23,26.4,18.1,48.9,181.08,-7.0,1.09,16.67,70.02,7.0,81.9,1006.9,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-26,0.45
119828,"Alba Iulia, Romania",2019-01-27,-3.1,4.6,-0.3,-3.6,78.68,26.4,14.5,42.1,154.71,-7.3,0.0,4.17,69.03,10.0,31.8,1008.8,"Snow Showers, Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-27,0.75
119829,"Alba Iulia, Romania",2019-01-28,-2.8,3.3,0.0,-1.9,87.57,26.4,9.1,14.2,73.0,-3.8,0.0,0.0,85.22,8.3,58.7,1002.7,"Mist, Rain, Light Rain",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România",Partially cloudy,2019-01-28,0.25
119830,"Alba Iulia, Romania",2019-01-29,0.6,5.1,2.4,1.2,91.69,26.4,14.4,27.7,182.46,-2.8,0.4,12.5,81.83,7.3,81.0,1005.5,"Mist, Light Snow, Rain, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","Rain, Overcast",2019-01-29,2.85
