Date,State,Vehicle_Class,Vehicle_Category,EV_Sales_Quantity
<<<<<<< HEAD
2018-01-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,148.0
2018-02-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,164.0
2018-03-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,77.0
2018-04-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,105.0
2018-05-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,102.0
2018-06-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,73.0
2018-07-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,45.0
2018-08-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,61.0
2018-09-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,69.0
2018-10-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,58.0
2018-11-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,77.0
2018-12-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,90.0
2019-01-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,72.0
2019-02-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,71.0
2019-03-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,71.0
2019-04-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,69.0
2019-05-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,101.0
2019-06-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,109.0
2019-07-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,71.0
2019-08-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,53.0
2019-09-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,61.0
2019-10-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,76.0
2019-11-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,84.0
2019-12-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,52.0
2020-01-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,120.0
2020-02-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,123.0
2020-03-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,94.0
2020-06-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,45.0
2020-07-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,104.0
2020-08-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,27.0
2020-09-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,38.0
2020-10-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,93.0
2020-11-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,75.0
2020-12-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,91.0
2021-01-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,98.0
2021-02-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,109.0
2021-03-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,95.0
2021-04-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,13.0
2021-05-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,4.0
2021-06-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,26.0
2021-07-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,58.0
2021-08-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,88.0
2021-09-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,78.0
2021-10-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,135.0
2021-11-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,175.0
2021-12-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,145.0
2022-01-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,153.0
2022-02-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,189.0
2022-03-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,200.0
2022-04-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,241.0
2022-05-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,207.0
2022-06-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,324.0
2022-07-01,Maharashtra,E-RICKSHAW(P),3-Wheelers,236.0
=======
01-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,148
02-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,164
03-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,77
04-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,105
05-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,102
06-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,73
07-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,45
08-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,61
09-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,69
10-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,58
11-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,77
12-01-2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,90
01-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,72
02-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,71
03-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,71
04-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,69
05-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,101
06-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,109
07-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,71
08-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,53
09-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,61
10-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,76
11-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,84
12-01-2019,Maharashtra,E-RICKSHAW(P),3-Wheelers,52
01-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,120
02-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,123
03-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,94
06-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,45
07-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,104
08-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,27
09-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,38
10-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,93
11-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,75
12-01-2020,Maharashtra,E-RICKSHAW(P),3-Wheelers,91
01-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,98
02-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,109
03-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,95
04-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,13
05-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,4
06-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,26
07-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,58
08-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,88
09-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,78
10-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,135
11-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,175
12-01-2021,Maharashtra,E-RICKSHAW(P),3-Wheelers,145
01-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,153
02-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,189
03-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,200
04-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,241
05-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,207
06-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,324
07-01-2022,Maharashtra,E-RICKSHAW(P),3-Wheelers,236
>>>>>>> df8be8020a06704234e045f8f67312e89adc09b5
