datetime,humidity,pressure,temperature,wind_direction,wind_speed
2014-01-01 00-00,29.0,1028.0,285.7785,102,0
2014-01-01 01-00,39.0,1028.0,285.7283333,134,0
2014-01-01 02-00,42.0,1028.0,285.6906667,124,0
2014-01-01 03-00,89.0,1029.0,286.2815,194,0
2014-01-01 04-00,27.0,1029.0,286.0343333,158,0
2014-01-01 05-00,27.0,1028.0,286.4156667,201,0
2014-01-01 06-00,27.0,1029.0,286.869,180,0
2014-01-01 07-00,63.0,1029.0,287.2263333,245,1
2014-01-01 08-00,27.0,1029.0,287.6556667,245,1
2014-01-01 09-00,27.0,1028.0,286.7635,242,1
2014-01-01 10-00,27.0,1028.0,287.6333333,243,1
2014-01-01 11-00,27.0,1029.0,287.1816667,241,1
2014-01-01 12-00,95.0,1029.0,285.535,254,1
2014-01-01 13-00,27.0,1029.0,285.4816667,247,0
2014-01-01 14-00,27.0,1030.0,284.2333333,255,0
2014-01-01 15-00,27.0,1030.0,285.001,123,0
2014-01-01 16-00,27.0,1030.0,283.0806667,178,0
2014-01-01 17-00,27.0,1030.0,283.1763333,93,0
2014-01-01 18-00,27.0,1031.0,283.1215,158,0
2014-01-01 19-00,31.0,1031.0,283.2673333,22,0
2014-01-01 20-00,20.0,1031.0,283.2626667,37,0
2014-01-01 21-00,16.0,1031.0,282.956,20,1
2014-01-01 22-00,50.0,1031.0,283.052,46,1
2014-01-01 23-00,55.0,1031.0,282.846,40,1
2014-02-01 00-00,27.0,1031.0,282.4645,32,1
2014-02-01 01-00,27.0,1032.0,282.317,26,1
2014-02-01 02-00,48.0,1032.0,281.994,19,1
2014-02-01 03-00,37.0,1032.0,283.739,29,1
2014-02-01 04-00,27.0,1033.0,282.7266667,16,1
2014-02-01 05-00,27.0,1032.0,283.7823333,21,1
2014-02-01 06-00,64.0,1032.0,284.438,32,1
2014-02-01 07-00,27.0,1032.0,285.627,34,1
2014-02-01 08-00,78.0,1032.0,286.416,43,1
2014-02-01 09-00,21.0,1031.0,285.811,165,0
2014-02-01 10-00,27.0,1032.0,287.0646667,136,0
2014-02-01 11-00,27.0,1032.0,286.9243333,220,0
2014-02-01 12-00,22.0,1032.0,285.9125,195,0
2014-02-01 13-00,27.0,1032.0,286.0626667,315,0
2014-02-01 14-00,27.0,1032.0,285.3413333,326,0
2014-02-01 15-00,24.0,1032.0,284.4945,170,0
2014-02-01 16-00,27.0,1033.0,283.815,236,0
2014-02-01 17-00,27.0,1033.0,283.01,136,0
2014-02-01 18-00,27.0,1033.0,282.908,190,0
2014-02-01 19-00,37.0,1033.0,281.8686667,38,1
2014-02-01 20-00,27.0,1033.0,281.5323333,41,1
2014-02-01 21-00,16.0,1033.0,281.572,33,1
2014-02-01 22-00,19.0,1034.0,281.1103333,39,1
2014-02-01 23-00,34.0,1034.0,281.0246667,35,1
2014-03-01 00-00,30.0,1034.0,281.1055,33,1
2014-03-01 01-00,27.0,1035.0,280.9643333,28,1
2014-03-01 02-00,27.0,1035.0,280.9896667,25,1
2014-03-01 03-00,24.0,1035.0,284.493,29,1
2014-03-01 04-00,27.0,1035.0,283.359,24,1
