FlightDate,OriginCityName,CRSDepTime,DepTime,DepDelay
01-01-2014,Los Angeles,930,1132,122
02-01-2014,Los Angeles,930,932,2
03-01-2014,Los Angeles,930,,
04-01-2014,Los Angeles,930,924,-6
05-01-2014,Los Angeles,930,938,8
06-01-2014,Los Angeles,930,934,4
07-01-2014,Los Angeles,930,925,-5
08-01-2014,Los Angeles,930,926,-4
09-01-2014,Los Angeles,930,925,-5
10-01-2014,Los Angeles,930,928,-2
11-01-2014,Los Angeles,930,930,0
12-01-2014,Los Angeles,930,1048,78
13-01-2014,Los Angeles,930,929,-1
14-01-2014,Los Angeles,930,926,-4
15-01-2014,Los Angeles,930,922,-8
16-01-2014,Los Angeles,930,942,12
17-01-2014,Los Angeles,930,928,-2
18-01-2014,Los Angeles,930,926,-4
19-01-2014,Los Angeles,930,932,2
20-01-2014,Los Angeles,930,952,22
21-01-2014,Los Angeles,930,,
22-01-2014,Los Angeles,930,930,0
23-01-2014,Los Angeles,930,924,-6
24-01-2014,Los Angeles,930,923,-7
25-01-2014,Los Angeles,930,921,-9
26-01-2014,Los Angeles,930,921,-9
27-01-2014,Los Angeles,930,1035,65
28-01-2014,Los Angeles,930,924,-6
29-01-2014,Los Angeles,930,921,-9
30-01-2014,Los Angeles,930,930,0
31-01-2014,Los Angeles,930,932,2
01-02-2014,Los Angeles,930,926,-4
02-02-2014,Los Angeles,930,927,-3
03-02-2014,Los Angeles,930,1028,58
04-02-2014,Los Angeles,930,941,11
05-02-2014,Los Angeles,930,926,-4
06-02-2014,Los Angeles,930,925,-5
07-02-2014,Los Angeles,930,1514,344
08-02-2014,Los Angeles,930,922,-8
09-02-2014,Los Angeles,930,918,-12
10-02-2014,Los Angeles,930,925,-5
11-02-2014,Los Angeles,930,928,-2
12-02-2014,Los Angeles,925,932,7
13-02-2014,Los Angeles,925,1044,79
14-02-2014,Los Angeles,925,932,7
15-02-2014,Los Angeles,925,928,3
16-02-2014,Los Angeles,925,919,-6
17-02-2014,Los Angeles,925,948,23
18-02-2014,Los Angeles,925,916,-9
19-02-2014,Los Angeles,925,921,-4
20-02-2014,Los Angeles,925,919,-6
21-02-2014,Los Angeles,925,924,-1
22-02-2014,Los Angeles,925,944,19
23-02-2014,Los Angeles,925,928,3
24-02-2014,Los Angeles,925,927,2
25-02-2014,Los Angeles,925,918,-7
26-02-2014,Los Angeles,925,918,-7
27-02-2014,Los Angeles,925,926,1
28-02-2014,Los Angeles,925,,
01-03-2014,Los Angeles,925,927,2
02-03-2014,Los Angeles,925,952,27
03-03-2014,Los Angeles,925,950,25
04-03-2014,Los Angeles,925,933,8
05-03-2014,Los Angeles,925,921,-4
06-03-2014,Los Angeles,930,928,-2
07-03-2014,Los Angeles,930,936,6
08-03-2014,Los Angeles,930,930,0
09-03-2014,Los Angeles,930,936,6
10-03-2014,Los Angeles,930,934,4
11-03-2014,Los Angeles,930,936,6
12-03-2014,Los Angeles,930,924,-6
13-03-2014,Los Angeles,930,926,-4
14-03-2014,Los Angeles,930,923,-7
15-03-2014,Los Angeles,930,948,18
16-03-2014,Los Angeles,930,941,11
17-03-2014,Los Angeles,930,929,-1
18-03-2014,Los Angeles,930,937,7
19-03-2014,Los Angeles,930,927,-3
20-03-2014,Los Angeles,930,924,-6
21-03-2014,Los Angeles,930,930,0
22-03-2014,Los Angeles,930,959,29
23-03-2014,Los Angeles,930,955,25
24-03-2014,Los Angeles,930,1011,41
25-03-2014,Los Angeles,930,928,-2
26-03-2014,Los Angeles,930,941,11
27-03-2014,Los Angeles,930,931,1
28-03-2014,Los Angeles,930,1022,52
29-03-2014,Los Angeles,930,922,-8
30-03-2014,Los Angeles,930,936,6
31-03-2014,Los Angeles,930,1000,30
01-04-2014,Los Angeles,930,944,14
02-04-2014,Los Angeles,930,923,-7
03-04-2014,Los Angeles,930,924,-6
04-04-2014,Los Angeles,930,924,-6
05-04-2014,Los Angeles,930,929,-1
06-04-2014,Los Angeles,930,,
07-04-2014,Los Angeles,930,931,1
08-04-2014,Los Angeles,930,932,2
09-04-2014,Los Angeles,930,928,-2
10-04-2014,Los Angeles,930,921,-9
11-04-2014,Los Angeles,930,954,24
12-04-2014,Los Angeles,930,940,10
13-04-2014,Los Angeles,930,928,-2
14-04-2014,Los Angeles,930,939,9
15-04-2014,Los Angeles,930,924,-6
16-04-2014,Los Angeles,930,938,8
17-04-2014,Los Angeles,930,942,12
18-04-2014,Los Angeles,930,924,-6
19-04-2014,Los Angeles,930,1032,62
20-04-2014,Los Angeles,930,923,-7
21-04-2014,Los Angeles,930,929,-1
22-04-2014,Los Angeles,930,928,-2
23-04-2014,Los Angeles,930,925,-5
24-04-2014,Los Angeles,930,954,24
25-04-2014,Los Angeles,930,932,2
26-04-2014,Los Angeles,930,927,-3
27-04-2014,Los Angeles,930,927,-3
28-04-2014,Los Angeles,930,929,-1
29-04-2014,Los Angeles,930,946,16
30-04-2014,Los Angeles,930,957,27
01-05-2014,Los Angeles,930,947,17
02-05-2014,Los Angeles,930,1158,148
03-05-2014,Los Angeles,930,925,-5
04-05-2014,Los Angeles,930,939,9
05-05-2014,Los Angeles,930,926,-4
06-05-2014,Los Angeles,930,927,-3
07-05-2014,Los Angeles,930,925,-5
08-05-2014,Los Angeles,900,956,56
09-05-2014,Los Angeles,900,856,-4
10-05-2014,Los Angeles,900,902,2
11-05-2014,Los Angeles,900,856,-4
12-05-2014,Los Angeles,900,858,-2
13-05-2014,Los Angeles,900,849,-11
14-05-2014,Los Angeles,900,,
15-05-2014,Los Angeles,900,917,17
16-05-2014,Los Angeles,900,903,3
17-05-2014,Los Angeles,900,857,-3
18-05-2014,Los Angeles,900,854,-6
19-05-2014,Los Angeles,900,854,-6
20-05-2014,Los Angeles,900,852,-8
21-05-2014,Los Angeles,900,857,-3
22-05-2014,Los Angeles,900,912,12
23-05-2014,Los Angeles,900,905,5
24-05-2014,Los Angeles,900,857,-3
26-05-2014,Los Angeles,900,906,6
27-05-2014,Los Angeles,900,855,-5
28-05-2014,Los Angeles,900,900,0
29-05-2014,Los Angeles,900,855,-5
30-05-2014,Los Angeles,900,922,22
31-05-2014,Los Angeles,900,856,-4
01-06-2014,Los Angeles,900,855,-5
02-06-2014,Los Angeles,900,853,-7
03-06-2014,Los Angeles,900,850,-10
04-06-2014,Los Angeles,900,853,-7
05-06-2014,Los Angeles,900,857,-3
06-06-2014,Los Angeles,900,858,-2
07-06-2014,Los Angeles,900,901,1
08-06-2014,Los Angeles,900,856,-4
09-06-2014,Los Angeles,900,854,-6
10-06-2014,Los Angeles,900,859,-1
11-06-2014,Los Angeles,900,903,3
12-06-2014,Los Angeles,900,923,23
13-06-2014,Los Angeles,900,913,13
14-06-2014,Los Angeles,900,853,-7
15-06-2014,Los Angeles,900,853,-7
16-06-2014,Los Angeles,900,900,0
17-06-2014,Los Angeles,900,853,-7
18-06-2014,Los Angeles,900,858,-2
19-06-2014,Los Angeles,900,856,-4
20-06-2014,Los Angeles,900,905,5
21-06-2014,Los Angeles,900,,
22-06-2014,Los Angeles,900,905,5
23-06-2014,Los Angeles,900,923,23
24-06-2014,Los Angeles,900,854,-6
25-06-2014,Los Angeles,900,858,-2
26-06-2014,Los Angeles,900,900,0
27-06-2014,Los Angeles,900,855,-5
28-06-2014,Los Angeles,900,857,-3
29-06-2014,Los Angeles,900,911,11
30-06-2014,Los Angeles,900,903,3
01-07-2014,Los Angeles,900,854,-6
02-07-2014,Los Angeles,900,905,5
03-07-2014,Los Angeles,900,1210,190
05-07-2014,Los Angeles,900,858,-2
06-07-2014,Los Angeles,900,850,-10
07-07-2014,Los Angeles,900,902,2
08-07-2014,Los Angeles,900,937,37
09-07-2014,Los Angeles,900,934,34
10-07-2014,Los Angeles,900,,
11-07-2014,Los Angeles,900,919,19
12-07-2014,Los Angeles,900,902,2
13-07-2014,Los Angeles,900,1003,63
14-07-2014,Los Angeles,900,855,-5
15-07-2014,Los Angeles,900,1010,70
16-07-2014,Los Angeles,900,904,4
17-07-2014,Los Angeles,900,851,-9
18-07-2014,Los Angeles,900,900,0
19-07-2014,Los Angeles,900,853,-7
20-07-2014,Los Angeles,900,903,3
21-07-2014,Los Angeles,900,854,-6
22-07-2014,Los Angeles,900,854,-6
23-07-2014,Los Angeles,900,1123,143
24-07-2014,Los Angeles,900,903,3
25-07-2014,Los Angeles,900,856,-4
26-07-2014,Los Angeles,900,858,-2
27-07-2014,Los Angeles,900,904,4
28-07-2014,Los Angeles,900,1030,90
29-07-2014,Los Angeles,900,859,-1
30-07-2014,Los Angeles,900,857,-3
31-07-2014,Los Angeles,900,,
01-08-2014,Los Angeles,900,853,-7
02-08-2014,Los Angeles,900,957,57
03-08-2014,Los Angeles,900,853,-7
04-08-2014,Los Angeles,900,852,-8
05-08-2014,Los Angeles,900,900,0
06-08-2014,Los Angeles,900,853,-7
07-08-2014,Los Angeles,900,857,-3
08-08-2014,Los Angeles,900,857,-3
09-08-2014,Los Angeles,900,854,-6
10-08-2014,Los Angeles,900,902,2
