Date,OriginCityName,CRSDepTime,DepTime,DepDelay
2014-01-01,Los Angeles,930,1132.0,122.0
2014-01-02,Los Angeles,930,932.0,2.0
2014-01-03,Los Angeles,930,,
2014-01-04,Los Angeles,930,924.0,-6.0
2014-01-05,Los Angeles,930,938.0,8.0
2014-01-06,Los Angeles,930,934.0,4.0
2014-01-07,Los Angeles,930,925.0,-5.0
2014-01-08,Los Angeles,930,926.0,-4.0
2014-01-09,Los Angeles,930,925.0,-5.0
2014-01-10,Los Angeles,930,928.0,-2.0
2014-01-11,Los Angeles,930,930.0,0.0
2014-01-12,Los Angeles,930,1048.0,78.0
2014-01-13,Los Angeles,930,929.0,-1.0
2014-01-14,Los Angeles,930,926.0,-4.0
2014-01-15,Los Angeles,930,922.0,-8.0
2014-01-16,Los Angeles,930,942.0,12.0
2014-01-17,Los Angeles,930,928.0,-2.0
2014-01-18,Los Angeles,930,926.0,-4.0
2014-01-19,Los Angeles,930,932.0,2.0
2014-01-20,Los Angeles,930,952.0,22.0
2014-01-21,Los Angeles,930,,
2014-01-22,Los Angeles,930,930.0,0.0
2014-01-23,Los Angeles,930,924.0,-6.0
2014-01-24,Los Angeles,930,923.0,-7.0
2014-01-25,Los Angeles,930,921.0,-9.0
2014-01-26,Los Angeles,930,921.0,-9.0
2014-01-27,Los Angeles,930,1035.0,65.0
2014-01-28,Los Angeles,930,924.0,-6.0
2014-01-29,Los Angeles,930,921.0,-9.0
2014-01-30,Los Angeles,930,930.0,0.0
2014-01-31,Los Angeles,930,932.0,2.0
2014-02-01,Los Angeles,930,926.0,-4.0
2014-02-02,Los Angeles,930,927.0,-3.0
2014-02-03,Los Angeles,930,1028.0,58.0
2014-02-04,Los Angeles,930,941.0,11.0
2014-02-05,Los Angeles,930,926.0,-4.0
2014-02-06,Los Angeles,930,925.0,-5.0
2014-02-07,Los Angeles,930,1514.0,344.0
2014-02-08,Los Angeles,930,922.0,-8.0
2014-02-09,Los Angeles,930,918.0,-12.0
2014-02-10,Los Angeles,930,925.0,-5.0
2014-02-11,Los Angeles,930,928.0,-2.0
2014-02-12,Los Angeles,925,932.0,7.0
2014-02-13,Los Angeles,925,1044.0,79.0
2014-02-14,Los Angeles,925,932.0,7.0
2014-02-15,Los Angeles,925,928.0,3.0
2014-02-16,Los Angeles,925,919.0,-6.0
2014-02-17,Los Angeles,925,948.0,23.0
2014-02-18,Los Angeles,925,916.0,-9.0
2014-02-19,Los Angeles,925,921.0,-4.0
2014-02-20,Los Angeles,925,919.0,-6.0
2014-02-21,Los Angeles,925,924.0,-1.0
2014-02-22,Los Angeles,925,944.0,19.0
2014-02-23,Los Angeles,925,928.0,3.0
2014-02-24,Los Angeles,925,927.0,2.0
2014-02-25,Los Angeles,925,918.0,-7.0
2014-02-26,Los Angeles,925,918.0,-7.0
2014-02-27,Los Angeles,925,926.0,1.0
2014-02-28,Los Angeles,925,,
2014-03-01,Los Angeles,925,927.0,2.0
2014-03-02,Los Angeles,925,952.0,27.0
2014-03-03,Los Angeles,925,950.0,25.0
2014-03-04,Los Angeles,925,933.0,8.0
2014-03-05,Los Angeles,925,921.0,-4.0
2014-03-06,Los Angeles,930,928.0,-2.0
2014-03-07,Los Angeles,930,936.0,6.0
2014-03-08,Los Angeles,930,930.0,0.0
2014-03-09,Los Angeles,930,936.0,6.0
2014-03-10,Los Angeles,930,934.0,4.0
2014-03-11,Los Angeles,930,936.0,6.0
2014-03-12,Los Angeles,930,924.0,-6.0
2014-03-13,Los Angeles,930,926.0,-4.0
2014-03-14,Los Angeles,930,923.0,-7.0
2014-03-15,Los Angeles,930,948.0,18.0
2014-03-16,Los Angeles,930,941.0,11.0
2014-03-17,Los Angeles,930,929.0,-1.0
2014-03-18,Los Angeles,930,937.0,7.0
2014-03-19,Los Angeles,930,927.0,-3.0
2014-03-20,Los Angeles,930,924.0,-6.0
2014-03-21,Los Angeles,930,930.0,0.0
2014-03-22,Los Angeles,930,959.0,29.0
2014-03-23,Los Angeles,930,955.0,25.0
2014-03-24,Los Angeles,930,1011.0,41.0
2014-03-25,Los Angeles,930,928.0,-2.0
2014-03-26,Los Angeles,930,941.0,11.0
2014-03-27,Los Angeles,930,931.0,1.0
2014-03-28,Los Angeles,930,1022.0,52.0
2014-03-29,Los Angeles,930,922.0,-8.0
2014-03-30,Los Angeles,930,936.0,6.0
2014-03-31,Los Angeles,930,1000.0,30.0
2014-04-01,Los Angeles,930,944.0,14.0
2014-04-02,Los Angeles,930,923.0,-7.0
2014-04-03,Los Angeles,930,924.0,-6.0
2014-04-04,Los Angeles,930,924.0,-6.0
2014-04-05,Los Angeles,930,929.0,-1.0
2014-04-06,Los Angeles,930,,
2014-04-07,Los Angeles,930,931.0,1.0
2014-04-08,Los Angeles,930,932.0,2.0
2014-04-09,Los Angeles,930,928.0,-2.0
2014-04-10,Los Angeles,930,921.0,-9.0
2014-04-11,Los Angeles,930,954.0,24.0
2014-04-12,Los Angeles,930,940.0,10.0
2014-04-13,Los Angeles,930,928.0,-2.0
2014-04-14,Los Angeles,930,939.0,9.0
2014-04-15,Los Angeles,930,924.0,-6.0
2014-04-16,Los Angeles,930,938.0,8.0
2014-04-17,Los Angeles,930,942.0,12.0
2014-04-18,Los Angeles,930,924.0,-6.0
2014-04-19,Los Angeles,930,1032.0,62.0
2014-04-20,Los Angeles,930,923.0,-7.0
2014-04-21,Los Angeles,930,929.0,-1.0
2014-04-22,Los Angeles,930,928.0,-2.0
2014-04-23,Los Angeles,930,925.0,-5.0
2014-04-24,Los Angeles,930,954.0,24.0
2014-04-25,Los Angeles,930,932.0,2.0
2014-04-26,Los Angeles,930,927.0,-3.0
2014-04-27,Los Angeles,930,927.0,-3.0
2014-04-28,Los Angeles,930,929.0,-1.0
2014-04-29,Los Angeles,930,946.0,16.0
2014-04-30,Los Angeles,930,957.0,27.0
2014-05-01,Los Angeles,930,947.0,17.0
2014-05-02,Los Angeles,930,1158.0,148.0
2014-05-03,Los Angeles,930,925.0,-5.0
2014-05-04,Los Angeles,930,939.0,9.0
2014-05-05,Los Angeles,930,926.0,-4.0
2014-05-06,Los Angeles,930,927.0,-3.0
2014-05-07,Los Angeles,930,925.0,-5.0
2014-05-08,Los Angeles,900,956.0,56.0
2014-05-09,Los Angeles,900,856.0,-4.0
2014-05-10,Los Angeles,900,902.0,2.0
2014-05-11,Los Angeles,900,856.0,-4.0
2014-05-12,Los Angeles,900,858.0,-2.0
2014-05-13,Los Angeles,900,849.0,-11.0
2014-05-14,Los Angeles,900,,
2014-05-15,Los Angeles,900,917.0,17.0
2014-05-16,Los Angeles,900,903.0,3.0
2014-05-17,Los Angeles,900,857.0,-3.0
2014-05-18,Los Angeles,900,854.0,-6.0
2014-05-19,Los Angeles,900,854.0,-6.0
2014-05-20,Los Angeles,900,852.0,-8.0
2014-05-21,Los Angeles,900,857.0,-3.0
2014-05-22,Los Angeles,900,912.0,12.0
2014-05-23,Los Angeles,900,905.0,5.0
2014-05-24,Los Angeles,900,857.0,-3.0
2014-05-26,Los Angeles,900,906.0,6.0
2014-05-27,Los Angeles,900,855.0,-5.0
2014-05-28,Los Angeles,900,900.0,0.0
2014-05-29,Los Angeles,900,855.0,-5.0
2014-05-30,Los Angeles,900,922.0,22.0
2014-05-31,Los Angeles,900,856.0,-4.0
2014-06-01,Los Angeles,900,855.0,-5.0
2014-06-02,Los Angeles,900,853.0,-7.0
2014-06-03,Los Angeles,900,850.0,-10.0
2014-06-04,Los Angeles,900,853.0,-7.0
2014-06-05,Los Angeles,900,857.0,-3.0
2014-06-06,Los Angeles,900,858.0,-2.0
2014-06-07,Los Angeles,900,901.0,1.0
2014-06-08,Los Angeles,900,856.0,-4.0
2014-06-09,Los Angeles,900,854.0,-6.0
2014-06-10,Los Angeles,900,859.0,-1.0
2014-06-11,Los Angeles,900,903.0,3.0
2014-06-12,Los Angeles,900,923.0,23.0
2014-06-13,Los Angeles,900,913.0,13.0
2014-06-14,Los Angeles,900,853.0,-7.0
2014-06-15,Los Angeles,900,853.0,-7.0
2014-06-16,Los Angeles,900,900.0,0.0
2014-06-17,Los Angeles,900,853.0,-7.0
2014-06-18,Los Angeles,900,858.0,-2.0
2014-06-19,Los Angeles,900,856.0,-4.0
