Date,WeekDay,Weekend,Holiday
2014-01-01,Wednesday,No,No
2014-01-02,Thursday,No,No
2014-01-03,Friday,No,No
2014-01-04,Saturday,Yes,No
2014-01-06,Monday,No,No
2014-01-07,Tuesday,No,No
2014-01-08,Wednesday,No,No
2014-01-09,Thursday,No,No
2014-01-10,Friday,No,No
2014-01-13,Monday,No,No
2014-01-14,Tuesday,No,No
2014-01-15,Wednesday,No,No
2014-01-16,Thursday,No,No
2014-01-17,Friday,No,No
2014-01-20,Monday,No,No
2014-01-21,Tuesday,No,No
2014-01-22,Wednesday,No,No
2014-01-23,Thursday,No,No
2014-01-24,Friday,No,No
2014-01-27,Monday,No,No
2014-01-28,Tuesday,No,No
2014-01-29,Wednesday,No,No
2014-01-30,Thursday,No,No
2014-01-31,Friday,No,No
2014-02-03,Monday,No,No
2014-02-04,Tuesday,No,No
2014-02-05,Wednesday,No,No
2014-02-06,Thursday,No,No
2014-02-07,Friday,No,No
2014-02-10,Monday,No,No
2014-02-11,Tuesday,No,No
2014-02-12,Wednesday,No,No
2014-02-13,Thursday,No,No
2014-02-14,Friday,No,No
2014-02-17,Monday,No,No
2014-02-18,Tuesday,No,No
2014-02-19,Wednesday,No,No
2014-02-20,Thursday,No,No
2014-02-21,Friday,No,No
2014-02-24,Monday,No,No
2014-02-25,Tuesday,No,No
2014-02-26,Wednesday,No,No
2014-02-27,Thursday,No,No
2014-02-28,Friday,No,No
2014-03-03,Monday,No,No
2014-03-04,Tuesday,No,No
2014-03-05,Wednesday,No,No
2014-03-06,Thursday,No,No
2014-03-07,Friday,No,No
2014-03-10,Monday,No,No
2014-03-11,Tuesday,No,No
2014-03-12,Wednesday,No,No
2014-03-13,Thursday,No,No
2014-03-14,Friday,No,No
2014-03-17,Monday,No,Yes
2014-03-18,Tuesday,No,No
2014-03-19,Wednesday,No,No
2014-03-20,Thursday,No,No
2014-03-21,Friday,No,No
2014-03-24,Monday,No,No
2014-03-25,Tuesday,No,No
2014-03-26,Wednesday,No,No
2014-03-27,Thursday,No,No
2014-03-28,Friday,No,No
2014-03-31,Monday,No,No
2014-04-01,Tuesday,No,No
2014-04-02,Wednesday,No,No
2014-04-03,Thursday,No,No
2014-04-04,Friday,No,No
2014-04-05,Saturday,Yes,No
2014-04-07,Monday,No,No
2014-04-08,Tuesday,No,No
2014-04-09,Wednesday,No,No
2014-04-10,Thursday,No,No
2014-04-11,Friday,No,No
2014-04-14,Monday,No,No
2014-04-15,Tuesday,No,No
2014-04-16,Wednesday,No,No
2014-04-17,Thursday,No,No
2014-04-19,Saturday,Yes,No
2014-04-21,Monday,No,No
2014-04-22,Tuesday,No,No
2014-04-23,Wednesday,No,No
2014-04-25,Friday,No,No
2014-04-27,Sunday,Yes,No
2014-04-28,Monday,No,No
2014-04-29,Tuesday,No,No
2014-04-30,Wednesday,No,No
2014-05-01,Thursday,No,No
2014-05-02,Friday,No,No
2014-05-05,Monday,No,No
2014-05-06,Tuesday,No,No
2014-05-07,Wednesday,No,No
2014-05-08,Thursday,No,No
2014-05-09,Friday,No,No
2014-05-12,Monday,No,No
2014-05-13,Tuesday,No,No
2014-05-14,Wednesday,No,No
2014-05-15,Thursday,No,No
2014-05-16,Friday,No,No
2014-05-19,Monday,No,No
2014-05-20,Tuesday,No,No
2014-05-21,Wednesday,No,No
2014-05-22,Thursday,No,No
2014-05-23,Friday,No,No
2014-05-26,Monday,No,No
2014-05-27,Tuesday,No,No
2014-05-28,Wednesday,No,No
2014-05-29,Thursday,No,No
2014-05-30,Friday,No,No
2014-06-02,Monday,No,No
2014-06-03,Tuesday,No,No
2014-06-04,Wednesday,No,No
2014-06-05,Thursday,No,No
2014-06-06,Friday,No,No
2014-06-09,Monday,No,No
2014-06-10,Tuesday,No,No
2014-06-11,Wednesday,No,No
2014-06-12,Thursday,No,No
2014-06-13,Friday,No,No
2014-06-16,Monday,No,No
2014-06-17,Tuesday,No,No
2014-06-18,Wednesday,No,No
2014-06-19,Thursday,No,No
2014-06-20,Friday,No,No
2014-06-23,Monday,No,No
2014-06-24,Tuesday,No,No
2014-06-25,Wednesday,No,No
2014-06-26,Thursday,No,No
2014-06-27,Friday,No,No
2014-06-30,Monday,No,No
2014-07-01,Tuesday,No,No
2014-07-02,Wednesday,No,No
2014-07-03,Thursday,No,No
2014-07-04,Friday,No,No
2014-07-07,Monday,No,No
2014-07-08,Tuesday,No,No
2014-07-09,Wednesday,No,No
2014-07-10,Thursday,No,No
2014-07-11,Friday,No,No
2014-07-12,Saturday,Yes,No
2014-07-13,Sunday,Yes,No
2014-07-14,Monday,No,No
2014-07-15,Tuesday,No,No
2014-07-16,Wednesday,No,No
2014-07-17,Thursday,No,No
2014-07-18,Friday,No,No
2014-07-20,Sunday,Yes,No
2014-07-21,Monday,No,No
2014-07-22,Tuesday,No,No
2014-07-23,Wednesday,No,No
2014-07-24,Thursday,No,No
2014-07-25,Friday,No,No
2014-07-27,Sunday,Yes,No
2014-07-28,Monday,No,No
2014-07-29,Tuesday,No,No
2014-07-30,Wednesday,No,No
2014-07-31,Thursday,No,No
2014-08-01,Friday,No,No
2014-08-04,Monday,No,No
2014-08-05,Tuesday,No,No
2014-08-06,Wednesday,No,No
2014-08-07,Thursday,No,No
2014-08-08,Friday,No,No
2014-08-10,Sunday,Yes,No
2014-08-11,Monday,No,No
2014-08-12,Tuesday,No,No
2014-08-13,Wednesday,No,No
2014-08-14,Thursday,No,No
2014-08-18,Monday,No,No
2014-08-19,Tuesday,No,No
2014-08-20,Wednesday,No,No
2014-08-21,Thursday,No,No
2014-08-22,Friday,No,No
2014-08-25,Monday,No,No
2014-08-26,Tuesday,No,No
2014-08-27,Wednesday,No,No
2014-08-28,Thursday,No,No
2014-08-29,Friday,No,No
2014-09-01,Monday,No,No
2014-09-02,Tuesday,No,No
2014-09-03,Wednesday,No,No
2014-09-04,Thursday,No,No
2014-09-05,Friday,No,No
2014-09-08,Monday,No,No
2014-09-09,Tuesday,No,No
2014-09-10,Wednesday,No,No
2014-09-11,Thursday,No,No
2014-09-12,Friday,No,No
2014-09-13,Saturday,Yes,No
2014-09-15,Monday,No,No
2014-09-16,Tuesday,No,No
2014-09-17,Wednesday,No,No
2014-09-18,Thursday,No,No
2014-09-19,Friday,No,No
2014-09-22,Monday,No,No
2014-09-23,Tuesday,No,No
2014-09-24,Wednesday,No,No
2014-09-25,Thursday,No,No
2014-09-26,Friday,No,No
2014-09-27,Saturday,Yes,No
2014-09-29,Monday,No,No
2014-09-30,Tuesday,No,No
2014-10-01,Wednesday,No,No
2014-10-03,Friday,No,No
2014-10-05,Sunday,Yes,No
2014-10-06,Monday,No,No
2014-10-07,Tuesday,No,No
2014-10-08,Wednesday,No,No
2014-10-09,Thursday,No,No
2014-10-10,Friday,No,No
2014-10-13,Monday,No,No
2014-10-14,Tuesday,No,No
2014-10-16,Thursday,No,No
2014-10-17,Friday,No,No
2014-10-20,Monday,No,No
2014-10-21,Tuesday,No,No
2014-10-22,Wednesday,No,No
2014-10-23,Thursday,No,Yes
2014-10-24,Friday,No,No
2014-10-27,Monday,No,No
2014-10-28,Tuesday,No,No
2014-10-29,Wednesday,No,No
2014-10-30,Thursday,No,No
2014-10-31,Friday,No,No
2014-11-03,Monday,No,No
