tpep_pickup_datetime,trip_count
2016-01-01 00:00:00,25270
2016-01-01 01:00:00,28511
2016-01-01 02:00:00,25490
2016-01-01 03:00:00,21277
2016-01-01 04:00:00,15419
2016-01-01 05:00:00,8102
2016-01-01 06:00:00,6051
2016-01-01 07:00:00,5254
2016-01-01 08:00:00,4940
2016-01-01 09:00:00,6055
2016-01-01 10:00:00,8435
2016-01-01 11:00:00,11752
2016-01-01 12:00:00,14027
2016-01-01 13:00:00,15694
2016-01-01 14:00:00,16552
2016-01-01 15:00:00,16139
2016-01-01 16:00:00,14786
2016-01-01 17:00:00,15847
2016-01-01 18:00:00,16780
2016-01-01 19:00:00,15669
2016-01-01 20:00:00,13249
2016-01-01 21:00:00,13073
2016-01-01 22:00:00,13742
2016-01-01 23:00:00,12923
2016-01-02 00:00:00,11265
2016-01-02 01:00:00,8549
2016-01-02 02:00:00,6644
2016-01-02 03:00:00,5416
2016-01-02 04:00:00,4038
2016-01-02 05:00:00,2396
2016-01-02 06:00:00,3271
2016-01-02 07:00:00,4229
2016-01-02 08:00:00,6171
2016-01-02 09:00:00,9274
2016-01-02 10:00:00,12561
2016-01-02 11:00:00,15075
2016-01-02 12:00:00,17021
2016-01-02 13:00:00,17829
2016-01-02 14:00:00,17939
2016-01-02 15:00:00,18526
2016-01-02 16:00:00,17770
2016-01-02 17:00:00,19371
2016-01-02 18:00:00,20650
2016-01-02 19:00:00,20769
2016-01-02 20:00:00,17542
2016-01-02 21:00:00,17944
2016-01-02 22:00:00,19157
2016-01-02 23:00:00,19424
2016-01-03 00:00:00,18290
2016-01-03 01:00:00,15949
2016-01-03 02:00:00,13396
2016-01-03 03:00:00,10146
2016-01-03 04:00:00,7159
2016-01-03 05:00:00,3384
2016-01-03 06:00:00,3464
2016-01-03 07:00:00,4285
2016-01-03 08:00:00,6000
2016-01-03 09:00:00,9314
2016-01-03 10:00:00,13136
2016-01-03 11:00:00,15270
2016-01-03 12:00:00,17113
2016-01-03 13:00:00,17082
2016-01-03 14:00:00,17886
2016-01-03 15:00:00,17144
2016-01-03 16:00:00,17849
2016-01-03 17:00:00,17864
2016-01-03 18:00:00,17735
2016-01-03 19:00:00,15599
2016-01-03 20:00:00,13467
2016-01-03 21:00:00,12216
2016-01-03 22:00:00,10712
2016-01-03 23:00:00,8418
2016-01-04 00:00:00,5749
2016-01-04 01:00:00,3580
2016-01-04 02:00:00,2304
2016-01-04 03:00:00,1595
2016-01-04 04:00:00,1999
2016-01-04 05:00:00,3426
2016-01-04 06:00:00,9684
2016-01-04 07:00:00,15934
2016-01-04 08:00:00,19263
2016-01-04 09:00:00,17283
2016-01-04 10:00:00,14268
2016-01-04 11:00:00,13800
2016-01-04 12:00:00,14778
2016-01-04 13:00:00,14906
2016-01-04 14:00:00,16916
2016-01-04 15:00:00,18000
2016-01-04 16:00:00,17000
2016-01-04 17:00:00,20224
2016-01-04 18:00:00,23229
2016-01-04 19:00:00,22147
2016-01-04 20:00:00,18838
2016-01-04 21:00:00,16737
2016-01-04 22:00:00,14778
2016-01-04 23:00:00,9733
2016-01-05 00:00:00,6779
2016-01-05 01:00:00,4232
2016-01-05 02:00:00,2458
2016-01-05 03:00:00,1642
2016-01-05 04:00:00,1710
2016-01-05 05:00:00,3622
2016-01-05 06:00:00,10158
2016-01-05 07:00:00,18543
2016-01-05 08:00:00,22385
2016-01-05 09:00:00,19837
2016-01-05 10:00:00,16759
2016-01-05 11:00:00,16513
2016-01-05 12:00:00,16673
2016-01-05 13:00:00,16248
2016-01-05 14:00:00,17975
2016-01-05 15:00:00,18705
2016-01-05 16:00:00,16477
2016-01-05 17:00:00,19647
2016-01-05 18:00:00,23358
2016-01-05 19:00:00,21829
2016-01-05 20:00:00,20647
2016-01-05 21:00:00,19593
2016-01-05 22:00:00,15932
2016-01-05 23:00:00,11529
2016-01-06 00:00:00,7185
2016-01-06 01:00:00,4397
2016-01-06 02:00:00,2740
2016-01-06 03:00:00,1903
2016-01-06 04:00:00,2006
2016-01-06 05:00:00,3302
2016-01-06 06:00:00,9561
2016-01-06 07:00:00,17779
2016-01-06 08:00:00,21130
2016-01-06 09:00:00,19661
2016-01-06 10:00:00,16624
2016-01-06 11:00:00,16279
2016-01-06 12:00:00,16901
2016-01-06 13:00:00,16622
2016-01-06 14:00:00,17907
2016-01-06 15:00:00,18067
2016-01-06 16:00:00,15807
2016-01-06 17:00:00,19412
2016-01-06 18:00:00,23640
2016-01-06 19:00:00,23302
2016-01-06 20:00:00,21800
2016-01-06 21:00:00,20928
2016-01-06 22:00:00,18821
2016-01-06 23:00:00,12742
2016-01-07 00:00:00,8286
2016-01-07 01:00:00,5177
2016-01-07 02:00:00,3280
2016-01-07 03:00:00,2123
2016-01-07 04:00:00,2060
2016-01-07 05:00:00,3488
2016-01-07 06:00:00,10087
2016-01-07 07:00:00,18072
2016-01-07 08:00:00,21081
2016-01-07 09:00:00,19409
2016-01-07 10:00:00,16624
2016-01-07 11:00:00,16299
2016-01-07 12:00:00,17052
2016-01-07 13:00:00,16878
2016-01-07 14:00:00,18738
2016-01-07 15:00:00,18473
2016-01-07 16:00:00,15862
2016-01-07 17:00:00,19309
